date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:38	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:38%20GMT	https://nrjac16.wixsite.com/mysite/cabcae51.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/cabcae51.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:39	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:39%20GMT	https://nrjac16.wixsite.com/mysite/b66c178d.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/b66c178d.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:40	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:40%20GMT	https://nrjac16.wixsite.com/mysite/c7fdedca.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/c7fdedca.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:41	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:41%20GMT	https://nrjac16.wixsite.com/mysite/ce9dcea4.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/ce9dcea4.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:42	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:42%20GMT	https://nrjac16.wixsite.com/mysite/bc497b45.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/bc497b45.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:43	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:43%20GMT	https://nrjac16.wixsite.com/mysite/2acb415c.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/2acb415c.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:44	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:44%20GMT	https://nrjac16.wixsite.com/mysite/7d6cd51b.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/7d6cd51b.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:45	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:45%20GMT	https://nrjac16.wixsite.com/mysite/16e57088.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/16e57088.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:46	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:46%20GMT	https://nrjac16.wixsite.com/mysite/0a1c073a.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/0a1c073a.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:47	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:47%20GMT	https://nrjac16.wixsite.com/mysite/1ac8fc0f.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/1ac8fc0f.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:48	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:48%20GMT	https://nrjac16.wixsite.com/mysite/e5d84163.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/e5d84163.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:49	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:49%20GMT	https://nrjac16.wixsite.com/mysite/d5f023bb.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/d5f023bb.min.css	(from https://nrjac16.wixsite.com/mysite)
14:38:50	2936/2936	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Aug%202021%2004:38:50%20GMT	https://nrjac16.wixsite.com/mysite/d820de38.min.css	/home/niraj/websites/mysite/nrjac16.wixsite.com/mysite/d820de38.min.css	(from https://nrjac16.wixsite.com/mysite)
